ColumnVariableCode,ColumnVariableMeasurementUnitValue,ColumnVariableStatisticalUnitValue,ColumnVariableCodeValue,ColumnVariableParentCodeValue
GeographyCode,,,Geography Code
WP1101EW0088,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_044, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
WP1101EW0089,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_044, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
WP1101EW0090,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_044, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
WP1101EW0091,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_045, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
WP1101EW0092,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_045, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
WP1101EW0093,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_045, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
WP1101EW0094,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_046, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
WP1101EW0095,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_046, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
WP1101EW0096,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_046, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
WP1101EW0097,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_047, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
WP1101EW0098,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_047, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
WP1101EW0099,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_047, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
